时间,货币和准货币(M2)供应量期末值(亿元),货币和准货币(M2)供应量同比增长(%),货币(M1)供应量期末值(亿元),货币(M1)供应量同比增长(%),流通中现金(M0)供应量期末值(亿元),流通中现金(M0)供应量同比增长(%)
2011年7月,772923.65,14.7,270545.65,11.6,45183.1,14.3
2011年6月,780820.85,15.9,274662.57,13.1,44477.8,14.4
2011年5月,763409.22,15.1,269289.63,12.7,44602.83,15.4
2011年4月,757384.56,15.3,266766.91,12.9,45489.03,14.7
2011年3月,758130.88,16.6,266255.48,15,44845.22,14.8
2011年2月,736130.86,15.7,259200.5,14.5,47270.24,10.3
2011年1月,733884.83,17.2,261765.01,13.6,58063.94,42.5
2010年12月,725851.79,19.7,266621.54,21.2,44628.17,16.7
2010年11月,710339.03,19.5,259420.32,22.1,42252.16,16.3
2010年10月,699776.74,19.3,253313.17,22.1,41646.21,16.6
2010年9月,696471.5,19,243821.9,20.9,41854.41,13.8
2010年8月,687506.92,19.2,244340.64,21.9,39922.76,16
2010年7月,674051.48,17.6,240664.07,22.9,39543.16,15.5
2010年6月,673921.72,18.5,240580,24.6,38904.85,15.7
2010年5月,663351.37,21,236497.88,29.9,38652.97,15.2
2010年4月,656561.22,21.5,233909.76,31.3,39657.54,15.8
2010年3月,649947.46,22.5,229397.93,29.9,39080.58,15.8
2010年2月,636072.26,25.5,224286.95,35,42865.79,22
2010年1月,625609.29,26,229588.98,39,40758.58,-0.8
2009年12月,610224.52,27.7,221445.81,32.4,38246.97,11.8
2009年11月,594604.72,29.7,212493.2,36.6,36343.86,15
2009年10月,586643.29,29.4,207545.74,32,35730.23,14.1
2009年9月,585405.34,29.3,201708.14,29.5,36787.89,16
2009年8月,576698.95,28.5,200394.83,27.7,34406.62,11.5
2009年7月,573102.85,28.4,195889.27,26.4,34239.3,11.6
2009年6月,568916.2,28.5,193138.15,24.8,33640.98,11.5
2009年5月,548263.51,25.7,182025.58,18.7,33559.52,11.2
2009年4月,540481.21,26,178213.57,17.5,34257.27,11.3
2009年3月,530626.71,25.5,176541.13,17,33746.42,10.9
